LR,BS,Mid layer,accuracy
0.01,1000.0,16.0,0.54666668176651
0.01,1000.0,16.0,0.5600000023841858
0.001,1000.0,2.0,0.46666666865348816
0.001,1000.0,4.0,0.4933333396911621
0.001,1000.0,8.0,0.5066666603088379
0.001,1000.0,16.0,0.46666666865348816
0.001,1000.0,32.0,0.46666666865348816
0.001,1000.0,64.0,0.9333333373069763
0.001,1000.0,128.0,1.0
0.001,1000.0,256.0,0.6266666650772095
0.001,1000.0,512.0,0.4266666769981384
0.01,1000.0,2.0,0.54666668176651
0.01,1000.0,4.0,0.5600000023841858
0.01,1000.0,8.0,0.7200000286102295
0.01,1000.0,16.0,0.4399999976158142
0.01,1000.0,32.0,0.6933333277702332
0.01,1000.0,64.0,0.9066666960716248
0.01,1000.0,128.0,0.8133333325386047
0.01,1000.0,256.0,0.9599999785423279
0.01,1000.0,512.0,0.5066666603088379
0.1,1000.0,2.0,0.4699999988079071
0.1,1000.0,4.0,0.5199999809265137
0.1,1000.0,8.0,0.5550000071525574
0.1,1000.0,16.0,0.5400000214576721
0.1,1000.0,32.0,0.48500001430511475
0.1,1000.0,64.0,0.5099999904632568
0.1,1000.0,128.0,0.4699999988079071
0.1,1000.0,256.0,0.47999998927116394
0.1,1000.0,512.0,0.5099999904632568
0.1,1000.0,2.0,0.5333333611488342
0.1,1000.0,4.0,0.5199999809265137
0.1,1000.0,8.0,0.4933333396911621
0.1,1000.0,16.0,0.6000000238418579
0.1,1000.0,32.0,0.4933333396911621
0.1,1000.0,64.0,0.3333333432674408
0.1,1000.0,128.0,0.5733333230018616
0.1,1000.0,256.0,0.5199999809265137
0.1,1000.0,512.0,0.5333333611488342
